Number of Hyperparam Combinations: 216
Number of Runs per Hyperparam Set: 5

Hyperparam Tuple                                             | Training Loss Avg       | Training Accuracy Avg   | Validation Loss Avg     | Validation Acc Avg
(128, 'relu', 0.2, 256, 'relu', 0.1, 128, 'relu', 0.05)      | 56.20185470581055       | 0.9030303239822388      | 104.54232330322266      | 0.8597402691841125
(256, 'relu', 0.2, 256, 'relu', 0.1, 128, 'relu', 0.05)      | 59.04439640045166       | 0.8969697237014771      | 168.92989807128907      | 0.8545454621315003
(128, 'relu', 0.5, 256, 'relu', 0.1, 128, 'relu', 0.05)      | 127.56787033081055      | 0.818181836605072       | 107.29026947021484      | 0.8441558480262756
(256, 'relu', 0.5, 256, 'relu', 0.1, 128, 'relu', 0.05)      | 129.4429718017578       | 0.8363636374473572      | 139.54659729003907      | 0.833766233921051 
(128, 'relu', 0.1, 128, 'relu', 0.2, 128, 'relu', 0.05)      | 66.94876289367676       | 0.9272727370262146      | 175.5468536376953       | 0.8467532515525817
(256, 'relu', 0.1, 128, 'relu', 0.2, 128, 'relu', 0.05)      | 37.80443782806397       | 0.9272727370262146      | 140.54041137695313      | 0.8311688303947449
(128, 'relu', 0.2, 128, 'relu', 0.2, 128, 'relu', 0.05)      | 46.37597141265869       | 0.8909091114997864      | 121.27195587158204      | 0.8415584444999695
(256, 'relu', 0.2, 128, 'relu', 0.2, 128, 'relu', 0.05)      | 37.682794189453126      | 0.8909091114997864      | 169.28529052734376      | 0.8259740233421325
(128, 'relu', 0.5, 128, 'relu', 0.2, 128, 'relu', 0.05)      | 182.1961700439453       | 0.7333333373069764      | 93.42707138061523       | 0.8181818127632141
(256, 'relu', 0.5, 128, 'relu', 0.2, 128, 'relu', 0.05)      | 154.0463073730469       | 0.800000011920929       | 107.2118896484375       | 0.8363636374473572
(128, 'relu', 0.1, 256, 'relu', 0.2, 128, 'relu', 0.05)      | 24.956951904296876      | 0.9696969747543335      | 198.0187774658203       | 0.8363636374473572
(256, 'relu', 0.1, 256, 'relu', 0.2, 128, 'relu', 0.05)      | 30.611715415029813      | 0.9575757622718811      | 159.75636291503906      | 0.8441558480262756
(128, 'relu', 0.2, 256, 'relu', 0.2, 128, 'relu', 0.05)      | 22.886226463317872      | 0.9515151619911194      | 137.40684661865234      | 0.833766233921051 
(256, 'relu', 0.2, 256, 'relu', 0.2, 128, 'relu', 0.05)      | 18.189794301986694      | 0.939393949508667       | 109.19571685791016      | 0.849350655078888 
(128, 'relu', 0.5, 256, 'relu', 0.2, 128, 'relu', 0.05)      | 151.91331176757814      | 0.7818181872367859      | 118.31007843017578      | 0.8259740233421325
(256, 'relu', 0.5, 256, 'relu', 0.2, 128, 'relu', 0.05)      | 106.84519958496094      | 0.8484848618507386      | 93.50198516845703       | 0.8441558480262756
